GEOID,State,County,Population,EJ indexes above 80th percentile,DEMOGIDX_2,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,P_DEMOGIDX_2,P_PM25,P_OZONE,P_DSLPM,P_PTRAF,P_NO2,P_LIFEEXPPCT
06001404000,California,Alameda County,3145,0,1.3599,0.4922,0.2,0.0368,0.0747,0.0105,0.0451,0.0337,0.1377,0.1538,11.152,47.323,0.378,560.199,9013399.893,0.3459,0.453,0.182,23.614,0,16.038,12.515,0,52,91,0,90,98,90,13
06001404101,California,Alameda County,3208,0,0.7715,0.2628,0.1236,0.02,0.1085,0,0.0128,0.038,0.1855,0.1518,11.216,47.435,0.377,604.398,7249583.653,0.6192,0.389,0.2,23.916,0,22.145,10.279,0,21,91,0,90,96,77,12
06001404102,California,Alameda County,2701,0,1.2841,0.4706,0.1853,0.0285,0.2047,0.07,0.0344,0.1037,0.3058,0.1826,11.187,47.404,0.377,584.19,7589755.727,0.5396,0.42,0.188,25.764,0,16.746,11.502,0,48,91,0,90,96,85,39
06001404200,California,Alameda County,3894,0,0.6568,0.3308,0.0396,0.065,0.0986,0.0027,0.0124,0.0732,0.2008,0.1364,11.275,48.155,0.287,592.511,6283403.181,0.5606,0.287,0.163,13.298,0,26.479,8.105,0,14,91,1,82,94,56,6
06001404300,California,Alameda County,3587,0,0.5774,0.2484,0.0608,0.0417,0.0471,0,0,0.036,0.2094,0.1456,11.297,48.1,0.324,656.968,7139382.39,0.5597,0.294,0.198,14.002,0,29.125,8.622,0,10,91,1,86,96,62,9
06001404400,California,Alameda County,5823,0,0.8655,0.4132,0.0661,0.0208,0.0591,0.0196,0.0289,0.0414,0.1953,0.1436,11.345,49.15,0.264,558.95,5857446.548,0.3511,0.237,0.14,11.025,0,33.646,6.729,0,26,91,1,78,93,42,8
06001404501,California,Alameda County,1820,0,0.6832,0.3423,0.0423,0.0104,0.0313,0.0175,0.0369,0.0445,0.2258,0.1169,11.286,48.824,0.249,521.973,5868026.182,0.6939,0.274,0.128,13.871,0,23.314,7.862,0,16,91,1,76,93,54,2
06001404502,California,Alameda County,6110,0,0.6808,0.3404,0.0426,0.0335,0.0583,0.0515,0.0251,0.0835,0.2224,0.1549,11.347,49.575,0.251,492.342,4518316.261,0.5094,0.229,0.117,12.154,0,26.782,6.458,0,16,91,1,76,90,39,14
06001404600,California,Alameda County,4934,0,0.9277,0.4179,0.0861,0.0556,0.0863,0.0093,0.0387,0.0667,0.2404,0.1385,11.347,49.963,0.235,448.772,4390241.494,0.4281,0.222,0.135,10.119,0,19.96,6.113,0,30,91,1,73,89,36,6
06001404700,California,Alameda County,2187,0,0.6694,0.3246,0.048,0.0442,0.1024,0,0,0.0668,0.2122,0.1538,11.293,49.147,0.248,461.493,5538109.214,0.7969,0.27,0.21,11.691,0,16.025,7.95,0,15,91,1,75,93,55,13
06001404800,California,Alameda County,2744,0,1.3987,0.4738,0.2256,0.0739,0.1614,0.0629,0.0985,0.0383,0.2263,0.1262,11.266,48.81,0.248,441.821,6428709.65,0.6449,0.296,0.217,12.919,0,10.062,9.039,0,54,91,1,75,95,66,3
06001404900,California,Alameda County,4669,0,1.1245,0.4581,0.1341,0.0201,0.0768,0.0559,0.0415,0.054,0.2065,0.12,11.221,48.533,0.277,445.834,7915962.466,0.8179,0.334,0.222,13.492,0,9.785,9.811,0,41,91,1,80,97,73,2
06001405000,California,Alameda County,3665,0,0.8983,0.4308,0.0674,0.0534,0.0595,0.0696,0.0333,0.0709,0.1793,0.1662,11.21,48.234,0.31,464.137,7545451.597,0.8506,0.35,0.223,13.261,0,10.165,9.932,0,28,91,1,84,96,74,23
06001405100,California,Alameda County,4508,0,0.7292,0.3376,0.0621,0.0028,0.0648,0,0.0101,0.053,0.205,0.1549,11.211,48.039,0.352,478.183,6991460.815,0.9054,0.378,0.192,14.211,0,12.74,10.171,0,18,91,0,88,95,76,14
06001405200,California,Alameda County,4913,6,1.6174,0.6601,0.1921,0.0186,0.1172,0.0816,0.0854,0.0584,0.1502,0.1292,11.147,47.6,0.379,470.15,9022317.003,0.7851,0.491,0.209,15.633,0,7.507,11.85,0,62,91,0,90,98,87,4
06001405301,California,Alameda County,2872,0,1.4101,0.5146,0.2048,0.0248,0.0799,0.0744,0.0621,0.0498,0.1236,0.1795,11.1,47.304,0.382,466.012,7908175.327,0.4592,0.583,0.235,15.21,0,0,12.199,0,54,90,0,90,97,88,36
06001405302,California,Alameda County,2559,7,2.0409,0.6577,0.3497,0.0416,0.1977,0.204,0.103,0.018,0.2165,0.1846,11.086,47.235,0.385,457.351,8058248.065,0.4377,0.652,0.233,15.04,0,0,12.262,0,74,90,0,91,97,89,41
06001405401,California,Alameda County,3541,7,2.0988,0.7475,0.3161,0.0713,0.1411,0.1641,0.1281,0.0274,0.1124,0.1713,11.098,47.4,0.391,450.749,7467281.203,0.6519,0.574,0.231,14.234,0,0,12.466,0,76,90,0,91,96,90,27
